target_genesymbol,source_genesymbol,sign
CDH1,TFAP2A,1
IGFBP5,TFAP2A,1
NME3,TFAP2A,1
TAF7,TFAP2A,1
VEGFA,TFAP2A,1
PTGDS,TFAP2B,1
TF,TFCP2,1
APOC3,NR2F1,-1
EPO,NR2F1,-1
CGA,THRB,-1
SFTPB,NKX2-1,1
BIRC5,TP53,-1
CASP1,TP53,1
CDK1,TP53,-1
CDKN1A,TP53,1
DUSP1,TP53,1
SFN,TP53,1
GSTP1,TP53,1
HNF4A,TP53,-1
IFI16,TP53,1
CD82,TP53,1
MDM2,TP53,1
MMP2,TP53,1
MUC2,TP53,1
TP53,MYC,1
MYC,TP53,-1
OGG1,TP53,1
PCNA,TP53,1
PDGFRB,TP53,1
RB1,TP53,-1
TP53,TP53,1
TNFRSF10A,TP53,1
GDF15,TP53,1
RASSF1,TP53,-1
BBC3,TP53,1
BBC3,TP53,1
AIFM2,TP53,1
CDKN1A,TP73,1
CYP3A4,USF1,1
HOXB4,USF1,1
P4HA1,USF1,1
PTGDS,USF1,1
S100A6,USF1,1
SLC22A2,USF1,1
TGFB2,USF1,1
SERBP1,USF1,1
HMOX1,USF2,1
HOXB4,USF2,1
P4HA1,USF2,1
TERT,USF2,1
TGFB2,USF2,1
CDKN1B,VDR,1
CYP3A4,VDR,1
CYP7A1,VDR,-1
EGFR,VDR,-1
IL10,VDR,-1
WT1,ETS1,1
ETS1,WT1,1
IGF1R,WT1,-1
IGF2,WT1,-1
WT1,MYB,1
MYB,WT1,-1
PDGFA,WT1,-1
TBXA2R,WT1,-1
CETP,YY1,1
FDPS,YY1,-1
HSD3B2,YY1,1
HSPA5,YY1,1
LDLR,YY1,-1
OPRM1,YY1,1
PRDM2,YY1,1
TERT,MZF1,-1
MMP3,ZNF148,1
ABCA1,ZNF202,-1
ALDOA,ZNF224,-1
INS,KLF11,1
CDKN1A,TP63,1
VDR,TP63,1
KLF4,TP63,-1
CYP3A4,NR1I2,1
TNF,LRRFIP1,-1
BIRC5,KLF4,-1
CCND1,KLF4,1
CDKN1A,KLF4,1
GPA33,KLF4,1
SYTL4,ONECUT2,-1
UGT1A1,NR1I3,1
UGT2B4,NR1H4,-1
ABCG1,NR1H3,1
MMP10,ZNF267,-1
TERT,CTCF,-1
CD2,TCFL5,-1
LRP5,KLF15,1
CCR4,FOXP3,1
IL2RA,FOXP3,1
FOXP3,SMAD3,1
FOXP3,NFATC2,1
ABCA3,SALL4,1
CDC25A,NANOG,-1
CDK6,NANOG,-1
PLAUR,FOXP2,1
CNTNAP2,FOXP2,-1
SP1,E2F7,-1
MACROD1,ESR1,1
IGFBP3,VDR,-1
OPRM1,STAT1,1
RB1,ATF2,1
ALDOB,HNF4A,1
INS,HNF1A,1
CTSG,CEBPE,1
CTSG,MYB,1
APOC3,USF1,1
APOA5,USF1,1
APOC3,CEBPA,1
APOA1,CEBPA,1
PTPA,CTCF,1
FBXO7,CTCF,1
HSPA5,CTCF,1
ETV7,STAT1,1
ACVR1C,CTCF,1
GAS7,CTCF,1
CIDEB,CTCF,1
IL19,CTCF,1
DLG1,YY1,1
ZNF655,STAT1,1
ZNF804B,CTCF,1
MRPS24,YY1,1
GPR146,GATA2,1
CREM,STAT1,1
POU1F1,CTCF,1
IRF7,STAT1,1
NFE2L2,CTCF,1
EP300,YY1,1
HEBP2,CTCF,1
MYD88,CTCF,1
RAB3GAP1,YY1,1
GRIN3A,CTCF,1
SNRNP27,STAT1,1
PPRC1,CTCF,1
CNIH1,CTCF,1
BRD8,STAT1,1
RNF26,YY1,1
IFI35,STAT1,1
ZNF613,CTCF,1
ATG4C,STAT1,1
FDPS,GATA2,1
NES,CTCF,1
HTR5A,GATA2,1
CCRL2,GATA2,1
ZNF20,CTCF,1
PSD4,GATA2,1
TSPAN16,CTCF,1
TRAPPC6A,CTCF,1
MAN1A1,STAT1,1
RNF40,YY1,1
ACTR5,YY1,1
ATXN10,YY1,1
GALNT6,CTCF,1
BICD2,CTCF,1
PLSCR2,GATA2,1
CCL16,CTCF,1
INO80,STAT1,1
ARRDC4,GATA2,1
VPS33B,STAT1,1
SMIM7,CTCF,1
FBXO5,STAT1,1
PAK4,YY1,1
PWP2,STAT1,1
ELP3,STAT1,1
AMOTL1,GATA2,1
HMCN1,CTCF,1
MTMR9,STAT1,1
HSF1,YY1,1
POMT2,CTCF,1
EARS2,STAT1,1
SLC2A13,E2F4,1
DDX50,STAT1,1
GALT,CTCF,1
CHRNA6,CTCF,1
MCM10,CTCF,1
CPSF2,YY1,1
WDR82,YY1,1
HMGB1,GATA2,1
DCLRE1C,STAT1,1
ICAM4,GATA2,1
RPL39L,CTCF,1
KSR1,CTCF,1
SMAD4,SP1,1
STK11,SP1,1
STK11,FOXO3,1
TUBA1B,RORA,1
RGR,SOX9,1
RELA,E2F1,1
MMP9,SP1,1
MMP9,RELA,1
HOXB9,E2F1,1
RNLS,STAT3,1
RNLS,ZNF148,1
RNLS,SP1,1
CD14,SPI1,1
FCER1A,SPI1,1
BCL2L11,FOXO1,1
CDKN2B,FOXO3,1
CDKN2B,FOXO1,1
CCND2,MYC,1
CCNE1,MYC,1
CDKN2B,MYC,-1
CCND1,STAT3,1
PAX6,POU5F1,-1
MYC,LEF1,1
MYBL2,TFDP1,1
FOS,ETS1,1
E2F1,HES1,-1
PMAIP1,TP53,1
IL4,NFATC2,1
SLC5A5,PAX8,1
HAMP,STAT3,1
PRF1,STAT4,1
S100A4,STAT4,1
G6PC,FOXO1,1
AKR1C3,AR,-1
NUPR1,ATF4,1
PCNA,TFDP1,1
TRIB3,DDIT3,1
DHFR,TFDP1,1
CDK1,TFDP1,1
FLI1,GATA1,1
GATA1,FLI1,1
NDRG1,TP53,1
FAS,TP53,1
FLI1,SPI1,1
GDF15,ATF3,1
B2M,USF1,1
B2M,USF2,1
SPI1,SPI1,1
SOCS1,IRF1,1
SOCS1,STAT1,1
KLK3,NFKB1,1
KLK3,FOXP1,-1
ARNTL,NR1D1,-1
BBC3,E2F1,1
CDC25A,E2F1,1
RRM1,E2F1,1
PPARG,E2F4,-1
LDLR,HNF4A,1
PCSK1,ATF1,1
RBL2,FOXO3,1
NPC1L1,HNF4A,1
PCSK9,HNF4A,1
HAMP,CEBPA,1
ABCB1,CEBPB,1
RHO,NRL,-1
TRIM63,FOXO1,1
CCNE1,TFDP1,1
ABCB1,EGR1,1
ABCB1,ETS1,1
BCAR1,EGR1,1
ENG,ERG,1
ERG,ERG,1
ERG,TAL1,1
GP6,GATA1,1
TFF1,ESR2,1
CDKN1A,ESR1,1
CDH17,CDX2,1
ZEB1,SALL4,1
ST3GAL1,MYC,1
MEP1A,CDX2,1
STAT1,CREB5,-1
CSRP1,REL,1
ABCB1,HIF1A,1
CXCR4,SNAI2,1
TBXAS1,TP53,-1
MYC,SMAD3,-1
SRPX,TWIST1,-1
NOTCH1,TCF3,1
VDR,SNAI2,-1
ABCC6,SOX2,1
CDK6,MYC,1
PPARG,E2F1,1
PTGES,EGR1,1
SLC4A2,EGR1,1
SOD1,EGR1,1
MUC4,CREB1,1
MUC4,STAT1,1
PER2,CEBPA,1
CYP19A1,FOXL2,-1
SFTPB,FOXA1,1
ISYNA1,E2F1,1
CHGA,EGR1,1
ATM,E2F1,1
DICER1,SOX4,1
VWF,ERG,1
MEF2C,TAL1,1
MMP9,ETS1,1
SIAH1,TP53,1
AFP,TP53,-1
VLDLR,HIC1,-1
FSHB,LHX3,1
CTCF,NFKB1,-1
HBB,KLF1,1
THBD,KLF4,1
NT5E,HIF1A,1
FMR1,USF1,1
SOX2,POU5F1,1
ABCG2,PPARG,1
POU5F1,PRDM14,1
CDC25A,MYC,1
PERP,TP63,1
UGT1A1,HNF1A,1
NPPA,TBX5,1
JUN,MEF2C,1
EGFR,TP53,1
CTSD,TP53,1
MGMT,TP53,-1
NLRC4,TP53,1
VCAN,TP53,1
CNN1,SRF,1
NR4A3,CREB1,1
FOS,ARNT,-1
DDIT4,ATF4,1
G6PC,FOXO3,1
G6PC,FOXO4,1
ABCB1,JUN,1
CDKN2D,FOXO1,1
ELANE,LEF1,1
PTCH1,GLI3,1
BEST1,MITF,1
DCT,MITF,1
PMEL,MITF,1
MLANA,MITF,1
SERPINF1,MITF,1
TYRP1,MITF,1
PIM1,STAT5A,1
ADAM10,SP1,1
POU1F1,LHX4,1
CDKN2A,TBX2,-1
NCF2,IRF8,1
MYH9,USF2,1
NR2F1,TWIST2,1
THBD,NFKB1,-1
LITAF,BCL6,-1
SFTPD,CEBPB,1
SFTPD,CEBPG,1
KRT16,JUN,1
THBD,KLF2,1
CCND1,LEF1,1
ERG,LYL1,1
MTA3,MTA1,-1
GATA4,NANOG,-1
PTPN6,PKNOX1,1
ID2,POU5F1,-1
LEFTY1,POU5F1,1
NRXN1,TCF4,1
CFLAR,RUNX3,-1
CRABP2,TFAP2C,1
ECM1,TFAP2C,1
RRM1,TFDP1,1
TYMS,TFDP1,1
MMP2,TWIST1,1
CTSD,USF2,1
CITED2,FOXO3,1
PRKCA,ELK1,1
LAMB1,NANOG,-1
NKX3-1,AR,1
AR,NKX3-1,-1
SPRR2A,ELF3,1
RARRES1,CTCF,1
MCPH1,E2F1,1
PCNA,E2F1,1
RASGEF1B,E2F1,1
RASGRP1,E2F1,1
ICAM1,ERG,-1
CD8A,ETS1,1
GP6,ETS1,1
MLH1,TP53,1
PMS2,TP53,1
VIM,ETV4,1
TRAF1,RELA,1
BIRC2,NFKB1,1
CDKN2D,FOXO3,1
PCK1,FOXO1,1
ERG,GATA3,1
IL4,GATA3,1
GRHL2,ZEB1,-1
CD2AP,E2F1,1
EPO,HIF1A,1
EPHA2,HIC1,-1
PHGDH,HOXA10,-1
TCF4,HOXB13,-1
TRAF2,RELA,1
IL4,POU2F1,-1
IL4,TBX21,-1
HSD3B2,NR5A1,1
STAR,NR5A1,1
FMR1,USF2,1
GCG,PAX6,1
GNRH1,POU3F2,1
TDGF1,POU5F1,1
IL17A,RORC,1
TAP1,IRF2,1
CDH1,ZEB1,-1
TLR3,STAT1,1
KRT17,STAT1,1
SLC26A4,STAT6,1
F12,ESR1,1
CDH1,SNAI2,-1
MDM2,TFAP4,-1
OCA2,MITF,1
BBC3,TCF3,-1
FGF2,TP53,-1
THBS1,TP53,1
BBC3,TP73,1
PPARG,ESR1,-1
PMAIP1,TP73,1
SRPX,TWIST2,-1
MYH9,USF1,1
IFNB1,IRF3,1
IFNA1,IRF7,1
JAG1,SNAI2,1
GDF15,EGR1,1
ERBB3,AR,1
MECOM,RUNX1,1
ICAM2,ERG,1
VIM,ERG,1
FASLG,FOXO3,1
CCNA1,RARA,-1
FGF21,ATF4,1
CDKL5,MEF2C,1
MYC,SMAD4,-1
CDH17,HNF1A,1
CRABP2,TFAP2A,1
FOS,TWIST1,1
POMGNT1,ZNF202,-1
LTF,CEBPE,1
NR2F1,TWIST1,1
SLC26A3,ETS1,1
MUC4,E2F1,1
MMP13,RUNX2,1
CDKN1A,SOX9,1
CCNA2,MYC,1
ESR1,DNMT1,-1
HIC1,E2F1,1
E2F1,HIC1,-1
CYP2B6,EGR1,1
FAS,EGR1,-1
ABCB1,TCF4,1
SULT1E1,TFAP2C,1
FABP4,PPARG,1
PLAT,ATF2,1
CIITA,PRDM1,-1
MYC,PRDM1,-1
SFTPD,CEBPA,1
AR,FOXA1,-1
DST,IRF1,-1
PCSK2,EGR1,1
SIRT1,FOXL2,1
CYP19A1,FOS,1
IL10,CEBPB,1
IL10,ATF1,1
HES6,ATOH1,1
HSD11B2,EGR1,-1
CSRP1,CEBPB,1
MPL,FLI1,1
LOR,SP3,-1
JUN,NR3C1,-1
NR3C1,JUN,1
ERG,FLI1,1
GP6,FLI1,1
GP9,FLI1,1
ABCB4,NR1H4,1
HSD3B2,NR4A1,1
CYP11B2,NR5A1,-1
FXYD2,HNF1B,1
KRT7,FOXA1,1
PCK2,RELA,-1
PRAME,SOX9,-1
CYP27A1,SP1,1
S100A10,STAT1,1
MMP13,STAT1,-1
LIN28B,TBP,1
CDKN2A,TBX5,1
GATA4,NKX2-5,1
ABCG5,HNF4A,-1
ABCB1,TP53,-1
NEUROD1,NEUROG3,1
ABCG8,HNF4A,-1
CTSD,USF1,1
GATA5,USF1,1
CDX2,POU5F1,-1
PTCH1,GLI1,1
FLG,HOPX,1
GCK,USF1,1
CYP27A1,SP3,1
TNF,IRF5,1
AKT1,AR,1
DDT,AR,1
KLK2,AR,1
KLK4,AR,1
KRT18,AR,1
MUC1,AR,-1
PGC,AR,1
PTGS2,AR,-1
RELA,AR,-1
AR,RELA,-1
SCAP,AR,1
VEGFA,AR,1
BHLHE40,ARNTL,1
CRY1,ARNTL,1
CRY2,ARNTL,1
PER1,ARNTL,1
PER2,ARNTL,1
PER3,ARNTL,1
SERPINE1,ARNTL2,1
CCNA1,ATF1,-1
CFTR,ATF1,1
MAP1LC3B,ATF1,1
SLC20A1,ATF1,1
APOC3,ATF2,1
CCND1,ATF2,1
IFNB1,ATF2,1
INS,ATF2,1
JUN,ATF2,1
MMP2,ATF2,1
PCK1,ATF2,1
TGFB2,ATF2,-1
TNF,ATF2,1
DDIT3,ATF3,1
DDIT3,ATF3,1
GCLC,ATF3,-1
ID1,ATF3,-1
SELE,ATF3,-1
ATF3,ATF4,1
CHAC1,ATF4,1
DDIT3,ATF4,1
DDIT3,ATF4,1
DDR2,ATF4,1
HRK,ATF4,1
TRIB3,ATF4,1
VEGFA,ATF4,1
CALR,ATF6,1
DNAJC3,ATF6,1
HSP90B1,ATF6,1
RTN3,ATF6,1
SEL1L,ATF6,1
BCL6,BCL6,-1
CCND2,BCL6,-1
HDAC7,BCL6,-1
IRF4,BCL6,-1
BCL6,IRF4,-1
PPARG,CDX1,1
AXIN2,CDX2,1
CFTR,CDX2,1
KLF4,CDX2,1
SLC15A1,CDX2,1
ALB,CEBPA,1
APOB,CEBPA,1
BCL2,CEBPA,1
CDKN1A,CEBPA,1
CRMP1,CEBPA,1
CSF3R,CEBPA,1
ELANE,CEBPA,1
GLS2,CEBPA,1
HSD17B11,CEBPA,1
HSPA4,CEBPA,1
IGF1,CEBPA,1
INSR,CEBPA,1
ITGAX,CEBPA,1
LEP,CEBPA,1
PPARG,CEBPA,1
SAA1,CEBPA,1
SCD,CEBPA,1
SERPINC1,CEBPA,1
SOCS3,CEBPA,1
CDKN1A,CEBPB,1
FURIN,CEBPB,1
HP,CEBPB,1
IGF2,CEBPB,1
IL1B,CEBPB,1
IL4,CEBPB,1
IL6,CEBPB,1
INSR,CEBPB,1
SAA1,CEBPB,1
SAA2,CEBPB,1
SLC10A1,CEBPB,1
XBP1,CEBPB,1
CYP19A1,CEBPD,-1
POU5F1,CEBPD,1
GATA1,CEBPE,-1
MYC,CEBPE,-1
SPI1,CEBPE,-1
BHLHE40,CLOCK,1
BHLHE41,CLOCK,1
CRY1,CLOCK,1
CRY2,CLOCK,1
PER1,CLOCK,1
PER2,CLOCK,1
PER3,CLOCK,1
BDNF,CREB1,1
CD4,CREB1,1
CDK11A,CREB1,1
CYP19A1,CREB1,1
ETV3,CREB1,1
HMOX1,CREB1,-1
IL2,CREB1,1
IL6,CREB1,1
JUN,CREB1,-1
MITF,CREB1,1
PPP2CA,CREB1,1
PSEN1,CREB1,1
PTGS2,CREB1,1
SLC20A1,CREB1,1
SLC1A4,CREB3L1,-1
CCNA2,CREM,-1
DUSP1,CREM,-1
ACTR3,CTCF,-1
AKT1,CTCF,-1
ALDH1A3,CTCF,-1
BCL2L14,CTCF,-1
COMMD2,CTCF,-1
EPX,CTCF,1
ESRP2,CTCF,-1
MMP10,CTCF,-1
NPC1,CTCF,-1
PAGE4,CTCF,-1
RBM39,CTCF,-1
RBMS3,CTCF,-1
S100Z,CTCF,-1
STAB2,CTCF,-1
TRO,CTCF,-1
ZNF462,CTCF,-1
ZNF763,CTCF,-1
TRIB3,DDIT3,1
MSH2,DNMT1,1
TIMP3,DNMT1,-1
ATG10,E2F1,1
AURKA,E2F1,1
AXIN2,E2F1,1
B4GALT1,E2F1,1
BBC3,E2F1,1
BIN1,E2F1,1
BIRC5,E2F1,1
BMI1,E2F1,1
CASP7,E2F1,1
CCNA2,E2F1,1
CCND1,E2F1,1
CDAN1,E2F1,1
CDC45,E2F1,1
CDC6,E2F1,1
CDCA7,E2F1,1
CDKN1A,E2F1,1
CDKN1C,E2F1,1
CDKN2A,E2F1,1
CDKN2A,E2F1,1
YBX3,E2F1,1
CTNND2,E2F1,1
DAPK2,E2F1,1
DNMT1,E2F1,1
DRAM1,E2F1,1
E2F1,E2F6,-1
E2F6,E2F1,1
ERCC1,E2F1,1
ETV4,E2F1,1
FANCD2,E2F1,1
FBXO43,E2F1,1
FBXO5,E2F1,1
FHIT,E2F1,-1
FLT1,E2F1,1
FOXM1,E2F1,1
GMNN,E2F1,1
HELLS,E2F1,1
HMGA1,E2F1,1
IRF3,E2F1,-1
JUN,E2F1,1
KDR,E2F1,1
KIF2C,E2F1,1
KIR3DL1,E2F1,1
MAP1LC3A,E2F1,1
MAP1LC3B,E2F1,1
MAPK1,E2F1,1
MCM10,E2F1,1
MCM5,E2F1,1
MCM6,E2F1,1
MCM7,E2F1,1
MCM8,E2F1,1
MDM2,E2F1,-1
MEFV,E2F1,1
NCOA3,E2F1,1
NPAT,E2F1,1
PCSK6,E2F1,1
PDK4,E2F1,1
PLK1,E2F1,1
PLK4,E2F1,1
PNRC2,E2F1,-1
POLD1,E2F1,1
POLE2,E2F1,1
PPP1R13B,E2F1,1
PTPRO,E2F1,1
RBM38,E2F1,1
SERPINE1,E2F1,-1
SIAH1,E2F1,1
SP3,E2F1,-1
TERT,E2F1,-1
THBS1,E2F1,1
TK1,E2F1,1
TOP1,E2F1,1
TOP2A,E2F1,1
E2F1,TP53,-1
TP53,E2F1,1
ULK1,E2F1,1
VEGFA,E2F1,-1
WWOX,E2F1,-1
XRCC1,E2F1,1
ZEB1,E2F1,1
ZNF350,E2F1,-1
ASF1B,E2F2,1
CDC6,E2F2,1
CDCA4,E2F2,1
CDCA7,E2F2,1
CDT1,E2F2,1
E2F1,E2F2,1
MCM10,E2F2,1
MCM5,E2F2,1
MCM6,E2F2,1
MCM7,E2F2,1
PLK1,E2F2,1
PLK4,E2F2,1
AURKA,E2F3,1
CDC6,E2F3,1
CDKN1A,E2F3,1
MCM5,E2F3,1
MCM6,E2F3,1
MCM7,E2F3,1
PLK1,E2F3,1
TP53BP2,E2F3,1
CCND1,E2F4,1
CDKN2C,E2F4,1
GMNN,E2F4,1
HCFC1,E2F4,1
IKBKG,E2F4,-1
JUN,E2F4,1
KATNAL1,E2F4,-1
LUC7L,E2F4,-1
MCM10,E2F4,-1
NPAT,E2F4,1
APAF1,E2F6,-1
DEPDC5,E2F6,-1
RBBP8,E2F6,-1
E2F1,E2F8,-1
ACE,EGR1,1
APOA1,EGR1,1
AR,EGR1,-1
CAT,EGR1,1
CD44,EGR1,1
CDK5R1,EGR1,1
COL2A1,EGR1,-1
EGFR,EGR1,1
EP300,EGR1,1
FGF2,EGR1,1
IL2,EGR1,1
IL3,EGR1,1
IL6,EGR1,-1
LHB,EGR1,1
LMTK2,EGR1,1
MMP14,EGR1,1
EGR1,NFKB1,-1
PDGFB,EGR1,1
PDGFC,EGR1,1
PLAU,EGR1,1
PLAUR,EGR1,1
PTEN,EGR1,1
PTGS2,EGR1,-1
RBL2,EGR1,1
RELA,EGR1,-1
EGR1,RELA,-1
STIM1,EGR1,1
SYN1,EGR1,1
TCF4,EGR1,1
TMPO,EGR1,1
TMPO,EGR1,1
TNF,EGR1,1
TP53,EGR1,1
UBE2S,EGR1,1
FASLG,EGR2,-1
SPRR1B,EHF,1
MEIS1,ELF1,1
FOSL1,ELK1,1
PSEN1,ELK1,1
FLT1,EPAS1,1
ETS2,ERF,-1
FGF2,ERG,-1
BLM,ESR1,1
CDKN1B,ESR1,-1
CRHBP,ESR1,1
CTNNB1,ESR1,-1
CYP19A1,ESR1,1
E2F1,ESR1,1
JUN,ESR1,1
JUNB,ESR1,1
NQO1,ESR1,-1
PLAC1,ESR1,1
PTMA,ESR1,-1
SERPINE1,ESR1,1
TAC3,ESR1,1
TP53,ESR1,-1
UGT2B15,ESR1,1
SERPINE1,ESR2,-1
NR2F6,ESRRA,-1
ANPEP,ETS1,1
BMP4,ETS1,1
CASP8,ETS1,1
CCND1,ETS1,1
CD3D,ETS1,1
CSF2,ETS1,1
CSF3R,ETS1,1
CSNK2A1,ETS1,1
ERG,ETS1,1
FAS,ETS1,1
FLI1,ETS1,1
FLT1,ETS1,1
FOXD1,ETS1,1
GP5,ETS1,1
GP9,ETS1,1
GRPR,ETS1,1
IL2,ETS1,-1
IL2RB,ETS1,1
IL3,ETS1,1
IL5,ETS1,1
CIP2A,ETS1,1
LCK,ETS1,1
MCL1,ETS1,1
MDM2,ETS1,-1
MET,ETS1,1
MGAT5,ETS1,1
MMP1,ETS1,1
MPL,ETS1,1
NDRG1,ETS1,-1
PARP1,ETS1,1
PF4,ETS1,1
PRL,ETS1,1
PSEN1,ETS1,1
PTHLH,ETS1,1
RAD51,ETS1,1
RUNX1,ETS1,1
TERT,ETS1,-1
ETS1,TFAP2A,1
TFAP2A,ETS1,1
TGFBR2,ETS1,1
TIMP1,ETS1,-1
TNC,ETS1,1
TNFSF14,ETS1,1
ZNF175,ETS1,1
ANGPT2,ETS2,1
ANPEP,ETS2,1
CGA,ETS2,1
CHRNE,ETS2,1
CSF2,ETS2,1
CSF3R,ETS2,1
ERG,ETS2,1
FLI1,ETS2,1
ICAM1,ETS2,1
IL5,ETS2,1
MDM2,ETS2,1
MMP9,ETS2,1
MSR1,ETS2,1
PSEN1,ETS2,1
PTHLH,ETS2,1
NFKB1,ETV3,-1
ERBB2,ETV4,-1
MMP7,ETV4,1
MUC4,ETV4,1
PTGS2,ETV4,1
EYA3,FLI1,1
ID2,FLI1,1
IGFBP3,FLI1,-1
TERT,FLI1,1
TGFBR2,FLI1,1
CCND1,FOS,-1
DDIT3,FOS,1
DDIT3,FOS,1
ERCC4,FOS,1
EZR,FOS,1
FAS,FOS,1
FOS,FOS,-1
HSPH1,FOS,1
MMP9,FOS,1
MYC,FOS,-1
NEFL,FOS,1
NFKB1,FOS,-1
NOS2,FOS,1
SMAD7,FOS,1
SP3,FOS,1
SRR,FOS,1
BCL6,FOSL2,1
CCR4,FOSL2,1
FOSL1,FOSL2,1
MMP13,FOSL2,1
NOS2,FOSL2,1
ABCA1,FOXA1,-1
CFTR,FOXA1,-1
NF1,FOXA1,1
RPRM,FOXA1,-1
CFTR,FOXA2,-1
PDX1,FOXA2,1
ZNF175,FOXD3,-1
CCNB1,FOXM1,1
CDC25B,FOXM1,1
CDC6,FOXM1,1
ABCB1,FOXO1,1
AGRP,FOXO1,1
CCNB1,FOXO1,-1
CCNB2,FOXO1,-1
CCND1,FOXO1,-1
CCND2,FOXO1,-1
CCNG2,FOXO1,1
CDKN1A,FOXO1,1
CDKN1B,FOXO1,1
CDKN1C,FOXO1,1
CNOT8,FOXO1,1
CNR1,FOXO1,-1
DAAM1,FOXO1,1
DAPK1,FOXO1,1
DUSP4,FOXO1,-1
KLF2,FOXO1,1
MCM5,FOXO1,-1
PDK4,FOXO1,1
RPS6KA3,FOXO1,1
TIMP3,FOXO1,-1
TMEM47,FOXO1,1
TNFSF10,FOXO1,1
TXNIP,FOXO1,-1
BNIP3L,FOXO3,1
CBLB,FOXO3,1
CCND1,FOXO3,-1
CCND2,FOXO3,-1
FOXO1,FOXO3,1
GADD45A,FOXO3,1
GALT,FOXO3,1
HBP1,FOXO3,1
JAK1,FOXO3,1
PINK1,FOXO3,1
PLAU,FOXO3,-1
SIRT1,FOXO3,1
PPARGC1A,FOXO4,1
SOD2,FOXO4,1
TNFSF10,FOXO4,1
MET,FOXP2,-1
IL2,FOXP3,-1
ALAS2,GATA1,1
PF4,GATA1,1
APEX1,GATA2,-1
AR,GATA2,1
CCM2,GATA2,-1
EFCAB2,GATA2,-1
FCER1A,GATA2,1
GULP1,GATA2,-1
MS4A2,GATA2,1
PNPLA8,GATA2,-1
TGFB2,GATA2,-1
CDH1,GATA3,1
CDX2,GATA3,1
FOXC1,GATA3,-1
IL12RB2,GATA3,-1
ZEB1,GATA3,1
NPPA,GATA4,1
BCL2,GLI1,1
EGR2,GLI1,-1
IGFBP6,GLI1,1
SFRP1,GLI1,1
SLIT2,GLI1,-1
BCL2,GLI2,1
COL5A2,GLI2,1
EFEMP1,GLI2,-1
FAS,GLI2,-1
FGF13,GLI2,1
FOXE1,GLI2,1
FST,GLI2,1
GLI1,GLI2,1
IFNGR1,GLI2,-1
LUM,GLI2,-1
PCNA,GLI2,1
PTCH1,GLI2,1
UGCG,GLI2,-1
WNT2B,GLI2,1
PTCH2,GLI3,1
MIF,HBP1,-1
NCF1,HBP1,-1
RUNX1,HBP1,1
DBF4,HES1,1
KDR,HEY1,-1
ACTA2,HEY2,-1
GATA6,HEY2,-1
HNF4A,HHEX,1
ADM,HIF1A,1
BAX,HIF1A,1
BNIP3,HIF1A,1
CCND1,HIF1A,-1
CXCR4,HIF1A,1
E2F3,HIF1A,1
EDN1,HIF1A,1
EDNRB,HIF1A,1
ID2,HIF1A,1
ITGB2,HIF1A,1
KLK3,HIF1A,1
LEP,HIF1A,1
NR4A1,HIF1A,1
PFKL,HIF1A,1
RORA,HIF1A,1
SOCS1,HIF1A,1
TERT,HIF1A,1
TFRC,HIF1A,1
TGFB3,HIF1A,1
TIMP1,HIF1A,1
TP53,HIF1A,1
